1        1.33258e+061
2        184528   1
3        10187    0.636687
5        51098    1
6        29985    1
7        11489    0.718063
8        26819    1
9        15363    0.960187
10       7579     0.473687
11       9687     0.605437
12       9111     0.569438
13       6199     0.387437
14       9452     0.59075
15       5826     0.364125
16       8797     0.549813
17       8353     0.522062
18       8817     0.551063
19       10640    0.665
20       6578     0.411125
21       9324     0.58275
22       11294    0.705875
23       12435    0.777188
24       10983    0.686438
25       7546     0.471625
28       10995    0.687187
29       5716     0.35725
37       7865     0.491563
38       8420     0.52625
45       8764     0.54775
46       7240     0.4525
53       9214     0.575875
54       7079     0.442437
63       10502    0.656375
64       7532     0.47075
73       9327     0.582937
74       7712     0.482
83       8822     0.551375
84       8511     0.531937
93       10656    0.666
94       6766     0.422875
103      10423    0.651438
104      9440     0.59
105      10544    0.659
106      8405     0.525312
107      8866     0.554125
108      8736     0.546
109      9089     0.568063
110      10403    0.650188
111      8222     0.513875
112      7906     0.494125
113      7314     0.457125
114      8374     0.523375
115      9217     0.576063
116      8904     0.5565
117      8646     0.540375
118      7868     0.49175
119      8712     0.5445
120      8479     0.529937
121      9401     0.587562
122      8239     0.514938
123      11278    0.704875
131      10236    0.63975
140      9187     0.574187
149      10858    0.678625
158      11165    0.697812
161      19076    1
162      14081    0.880062
163      12016    0.751
164      13921    0.870062
165      15111    0.944438
166      11645    0.727812
167      10564    0.66025
168      14986    0.936625
169      11592    0.7245
170      15189    0.949313
171      11746    0.734125
172      13717    0.857313
173      15721    0.982563
174      11176    0.6985
175      13836    0.86475
176      10178    0.636125
177      9008     0.563
178      9024     0.564
179      7929     0.495563
180      9682     0.605125
181      21030    1
182      15020    0.93875
183      12396    0.77475
184      11992    0.7495
185      6733     0.420812
186      6351     0.396937
187      6774     0.423375
188      7454     0.465875
189      7108     0.44425
190      10051    0.628188
191      7110     0.444375
192      6818     0.426125
193      9738     0.608625
194      15940    0.99625
195      5066     0.316625
196      7631     0.476938
197      6227     0.389188
198      6047     0.377937
199      5983     0.373937
200      6285     0.392813
201      6136     0.3835
202      6975     0.435937
203      6094     0.380875
204      12517    0.782312
205      7167     0.447937
206      6926     0.432875
207      6570     0.410625
208      6502     0.406375
209      9512     0.5945
210      6793     0.424563
211      10158    0.634875
212      9712     0.607
213      6775     0.423438
214      9002     0.562625
215      5878     0.367375
216      6029     0.376812
217      8364     0.52275
218      6175     0.385937
219      6248     0.3905
220      6751     0.421938
221      6298     0.393625
222      6570     0.410625
223      6523     0.407687
224      5771     0.360687
225      6340     0.39625
226      7392     0.462
227      8913     0.557063
228      6603     0.412687
229      7100     0.44375
230      9117     0.569813
231      6579     0.411187
232      6647     0.415438
233      6836     0.42725
234      6376     0.3985
235      7349     0.459313
236      6573     0.410813
237      5414     0.338375
238      5837     0.364812
239      6757     0.422312
240      5291     0.330688
241      8848     0.553
242      8441     0.527563
243      8049     0.503062
244      8909     0.556813
245      7924     0.49525
246      6083     0.380188
247      7699     0.481187
248      6564     0.41025
249      6394     0.399625
250      7592     0.4745
251      7165     0.447813
252      5551     0.346938
253      12631    0.789438
254      8460     0.52875
255      13033    0.814562
256      7843     0.490187
257      13037    0.814813
258      6859     0.428687
259      6785     0.424063
260      8132     0.50825
261      6891     0.430688
262      6207     0.387937
263      9713     0.607062
264      8854     0.553375
265      6630     0.414375
266      5837     0.364812
267      8673     0.542063
268      7859     0.491187
269      5365     0.335313
270      6114     0.382125
271      6173     0.385813
272      6230     0.389375
273      9872     0.617
274      6515     0.407187
275      6196     0.38725
276      5937     0.371063
277      5938     0.371125
278      6290     0.393125
279      7535     0.470938
280      5700     0.35625
281      6454     0.403375
282      5911     0.369437
283      6450     0.403125
284      6396     0.39975
285      5973     0.373312
286      10785    0.674063
287      12470    0.779375
288      7659     0.478687
289      10953    0.684562
290      6113     0.382063
291      6795     0.424687
292      5011     0.313188
293      4860     0.30375
294      4310     0.269375
295      4349     0.271813
296      4260     0.26625
297      4070     0.254375
298      5197     0.324813
299      4248     0.2655
300      5012     0.31325
301      4585     0.286562
302      6842     0.427625
303      4793     0.299563
304      4356     0.27225
305      6248     0.3905
306      5667     0.354187
307      5667     0.354187
308      6766     0.422875
309      4236     0.26475
310      9446     0.590375
311      9804     0.61275
312      7441     0.465062
313      10024    0.6265
314      9505     0.594063
315      7308     0.45675
316      9792     0.612
317      13927    0.870437
318      18918    1
319      12026    0.751625
320      11880    0.7425
321      7977     0.498563
322      6839     0.427438
323      8565     0.535312
324      8945     0.559063
325      5504     0.344
326      7344     0.459
327      7432     0.4645
328      6610     0.413125
329      7475     0.467187
330      6922     0.432625
331      6484     0.40525
332      5788     0.36175
333      13400    0.8375
334      10657    0.666063
335      6434     0.402125
336      5973     0.373312
337      5906     0.369125
338      6131     0.383188
339      6077     0.379812
340      6531     0.408187
341      6253     0.390813
342      6537     0.408562
343      7575     0.473438
344      6093     0.380812
345      6318     0.394875
346      6289     0.393062
347      6230     0.389375
348      5846     0.365375
349      6140     0.38375
350      6917     0.432312
351      6017     0.376063
352      6126     0.382875
353      6067     0.379188
354      6234     0.389625
355      6112     0.382
356      5963     0.372688
357      5712     0.357
358      6526     0.407875
359      5562     0.347625
360      9103     0.568937
361      9744     0.609
362      6532     0.40825
363      6917     0.432312
364      7288     0.4555
365      35392    1
366      5944     0.3715
367      16915    1
368      43161    1
369      14479    0.904937
370      11685    0.730313
371      15175    0.948438
372      5025     0.314063
373      5170     0.323125
374      5876     0.36725
375      5445     0.340313
376      10905    0.681562
377      17128    1
378      10477    0.654813
379      6853     0.428312
380      7504     0.469
381      9322     0.582625
382      16987    1
383      6825     0.426563
384      7690     0.480625
385      6925     0.432812
386      7293     0.455813
387      6026     0.376625
388      9712     0.607
389      8424     0.5265
390      6417     0.401062
391      6349     0.396813
392      6283     0.392688
393      6325     0.395313
394      9286     0.580375
395      8778     0.548625
396      7687     0.480438
397      7448     0.4655
398      5343     0.333937
399      6484     0.40525
400      7458     0.466125
401      8531     0.533188
402      9049     0.565562
403      6889     0.430563
404      6553     0.409562
405      10405    0.650312
406      5916     0.36975
407      9314     0.582125
408      5624     0.3515
409      7829     0.489312
410      8856     0.5535
411      6061     0.378812
412      6372     0.39825
413      8923     0.557688
414      5804     0.36275
415      11562    0.722625
416      6807     0.425438
417      5879     0.367437
418      6325     0.395313
419      5574     0.348375
420      5143     0.321437
421      8381     0.523813
422      7422     0.463875
423      6371     0.398188
424      5970     0.373125
425      5733     0.358312
426      6975     0.435937
427      7088     0.443
428      6077     0.379812
429      6010     0.375625
430      8206     0.512875
431      9404     0.58775
432      5454     0.340875
433      6970     0.435625
434      6014     0.375875
435      6023     0.376437
436      6077     0.379812
437      5739     0.358687
438      5817     0.363563
439      5936     0.371
440      6263     0.391437
441      8655     0.540937
442      5866     0.366625
443      7046     0.440375
444      6471     0.404438
445      6222     0.388875
446      6653     0.415812
447      6027     0.376688
448      7455     0.465938
449      7897     0.493563
450      13631    0.851938
451      14332    0.89575
452      8306     0.519125
453      8718     0.544875
454      8075     0.504687
455      8129     0.508062
456      8944     0.559
457      6136     0.3835
458      6493     0.405813
459      8828     0.55175
460      7252     0.45325
461      5224     0.3265
462      5749     0.359312
463      5561     0.347562
464      5746     0.359125
465      6156     0.38475
466      5930     0.370625
467      5437     0.339813
468      9098     0.568625
469      6596     0.41225
470      9988     0.62425
471      5873     0.367063
472      5987     0.374188
473      6827     0.426687
474      5650     0.353125
475      6953     0.434563
476      7247     0.452937
477      6658     0.416125
478      6904     0.4315
479      7337     0.458562
480      9568     0.598
481      6428     0.40175
482      9005     0.562813
483      7424     0.464
484      7526     0.470375
485      8317     0.519813
486      10132    0.63325
487      12653    0.790813
488      6992     0.437
489      7925     0.495312
490      7182     0.448875
491      7265     0.454062
492      4121     0.257563
493      6038     0.377375
494      4975     0.310937
495      4688     0.293
496      4562     0.285125
497      4943     0.308937
498      5786     0.361625
499      6162     0.385125
500      7612     0.47575
501      12782    0.798875
502      9218     0.576125
503      7182     0.448875
504      6139     0.383688
505      12131    0.758188
506      6641     0.415063
507      6677     0.417312
508      7338     0.458625
509      5265     0.329062
510      18878    1
511      10298    0.643625
512      8319     0.519938
513      7314     0.457125
514      6913     0.432063
515      9028     0.56425
516      7224     0.4515
517      9237     0.577313
518      10548    0.65925
519      5722     0.357625
520      5997     0.374812
521      6088     0.3805
522      16032    1
523      12383    0.773937
524      4859     0.303687
525      6051     0.378188
526      6124     0.38275
527      5913     0.369563
528      9812     0.61325
529      5578     0.348625
530      5612     0.35075
531      6544     0.409
532      7056     0.441
533      5810     0.363125
534      6070     0.379375
535      6208     0.388
536      6085     0.380312
537      6450     0.403125
538      6377     0.398562
539      6135     0.383437
540      6079     0.379937
541      6745     0.421563
542      6801     0.425063
543      5993     0.374563
544      5705     0.356563
545      5839     0.364938
546      5825     0.364063
547      6662     0.416375
548      5897     0.368563
549      8625     0.539062
550      7676     0.47975
551      6030     0.376875
552      6256     0.391
553      6979     0.436188
554      11353    0.709562
555      6063     0.378937
556      10113    0.632062
557      6783     0.423938
558      9276     0.57975
559      5971     0.373188
560      5423     0.338938
561      6769     0.423063
562      7296     0.456
563      6490     0.405625
564      6416     0.401
565      9831     0.614437
566      8343     0.521437
567      12849    0.803063
568      13957    0.872313
569      5470     0.341875
570      25882    1
571      18410    1
572      12859    0.803687
573      28135    1
574      49754    1
575      58947    1
577      33565    1
579      13781    0.861313
580      16075    1
581      10194    0.637125
582      10656    0.666
583      13255    0.828438
584      38450    1
585      18780    1
586      11690    0.730625
587      13976    0.8735
588      5259     0.328688
589      8785     0.549063
590      6075     0.379688
591      9369     0.585562
592      7347     0.459188
593      6955     0.434688
594      7642     0.477625
595      6398     0.399875
596      9239     0.577438
597      5894     0.368375
598      6870     0.429375
599      6425     0.401562
600      6469     0.404313
601      6268     0.39175
602      5982     0.373875
603      6551     0.409438
604      6771     0.423187
605      9387     0.586688
606      6665     0.416563
607      6940     0.43375
608      8856     0.5535
609      7614     0.475875
610      11860    0.74125
611      8246     0.515375
612      6821     0.426312
613      6560     0.41
614      12022    0.751375
615      7695     0.480938
616      7739     0.483687
617      7153     0.447062
618      5259     0.328688
619      6039     0.377437
620      7419     0.463687
621      6232     0.3895
622      6588     0.41175
623      6272     0.392
624      6692     0.41825
625      6152     0.3845
626      6408     0.4005
627      6912     0.432
628      6063     0.378937
629      6154     0.384625
630      6187     0.386688
631      9504     0.594
632      5445     0.340313
633      6353     0.397062
634      6244     0.39025
635      5919     0.369937
636      6108     0.38175
637      5744     0.359
638      5944     0.3715
639      6515     0.407187
640      5386     0.336625
641      6059     0.378688
642      6937     0.433563
643      5845     0.365312
644      8552     0.5345
645      7116     0.44475
646      6942     0.433875
647      7447     0.465438
648      5261     0.328813
649      6053     0.378312
650      5813     0.363312
651      6550     0.409375
652      6558     0.409875
653      5743     0.358938
654      6401     0.400062
655      6471     0.404438
656      5727     0.357938
657      6201     0.387562
658      6020     0.37625
659      6850     0.428125
660      5897     0.368563
661      6434     0.402125
662      5760     0.36
663      5725     0.357812
664      6052     0.37825
665      10600    0.6625
666      6860     0.42875
667      5810     0.363125
668      5658     0.353625
669      6255     0.390937
670      8677     0.542312
671      5870     0.366875
672      6163     0.385188
673      6304     0.394
674      6386     0.399125
675      6371     0.398188
676      7181     0.448813
677      6423     0.401438
678      7467     0.466687
679      6922     0.432625
680      10669    0.666813
681      6148     0.38425
682      8082     0.505125
683      6450     0.403125
684      5954     0.372125
685      6175     0.385937
686      6041     0.377563
687      6664     0.4165
688      6161     0.385062
689      11645    0.727812
690      8525     0.532813
691      18469    1
692      6436     0.40225
693      5239     0.327437
694      10540    0.65875
695      6478     0.404875
696      8822     0.551375
697      7122     0.445125
698      7311     0.456937
699      14417    0.901062
700      9145     0.571562
701      14901    0.931312
702      17218    1
703      4879     0.304937
704      5379     0.336187
705      6660     0.41625
706      10124    0.63275
707      12033    0.752062
708      6033     0.377063
709      8756     0.54725
710      5776     0.361
711      6922     0.432625
712      6493     0.405813
713      6473     0.404562
714      6545     0.409062
715      8493     0.530813
716      9168     0.573
717      7834     0.489625
718      9678     0.604875
719      7515     0.469687
720      8922     0.557625
721      12183    0.761437
722      9973     0.623313
723      7513     0.469562
724      8100     0.50625
